Artist,Song,Lyrics
Billie Holiday,Our Love Is Here To Stay,"The more I read the papers   The less I comprehend   The world with all its capers   And how it all will end.   Nothing seems to be lasting.   But that isn't our affair,   We've got something permanent,   I mean in the way we care.      It's very clear   Our love is here to stay,   Not for a year   But ever and a day.   The radio and the telephone and the movies that we know   May just be passing fancies,   And in time may go.   But, oh my dear,   Our love is here to stay,   Together we're going a long, long way.   In time the Rockies may crumble, Gibraltar may tumble,   They're only made of clay,   But our love is here to stay.  "
High School Musical,Can I Have This Dance,"Take my hand, take a breath   Pull me close and take one step   Keep your eyes locked on mine   And let the music be your guide      Won't you promise me?   (Now won't you promise me?)   (That you'll never forget)   We'll keep dancing   (To keep dancing)   Wherever we go next      It's like catching lightning, the chances of finding   Someone like you   It's one in a million, the chances of feeling   The way we do      And with every step together   We just keep on getting better   So can I have this dance?   (Can I have this dance?)   Can I have this dance?      Take my hand, I'll take the lead   And every turn will be safe with me   Don't be afraid, afraid to fall   You know I'll catch you through it all      And you can't keep us apart   (Even a thousand miles can't keep us apart)   'Cause my heart is wherever you are      It's like catching lightening, the chances of finding   Someone like you   It's one in a million, the chances of feeling   The way we do      And with every step together   We just keep on getting better   So can I have this dance?   (Can I have this dance?)   Can I have this dance?      Oh, no mountain's too high and no ocean's too wide   'Cause together or not, our dance won't stop   Let it rain, let it pour, what we have is worth fighting for   You know I believe that we were meant to be! Oh!      It's like catching lightening, the chances of finding   Someone like you   It's one in a million, the chances of feeling   The way we do      And with every step together   We just keep on getting better   So can I have this dance?   (Can I have this dance?)   Can I have this dance?   Can I have this dance?   Can I have this dance?  "
Phish,The Moma Dance,And all throughout I gaze and glimpse you   Loving never did convince you   I see you when you're all alone   It's like a person I've not known      The moment ends though I feel winds   Blowing differently than ever before   And they're pushing me further from shore      A frothy cap the steady slap   Of lines against the rail   A biting rain take in the main      Up the rigging take in sail mind the skipper we'll not fail   He'll bring out wine all will be fine just hear the order watch the sail   The moment ends  
Uriah Heep,Rollin' On,"It came as the daybreak   Must surely arrive   Opened my eyes just   To be sure I was alive   Another day   They're much the same   Twentyfour hours for me   To try again   I'm rollin' on, I'm rollin' on   I'm rollin' on, I'm rollin' on      It came as a judgement   We all have to face   Fickle hour you bring me joy   You bring me disgrace   I'll take your challenge   Man against emotion   I'll wager my beliefs   Against my sin   I'm rollin' on, I'm rollin' on   Well, I'm rollin' on      Rollin' on and on and on forever   Yes, I am   Rollin', rollin', rollin' on together   Rollin' on and on and on forever   Rollin', rollin', rollin' on      Yes, I'm rollin' on   To where I don't care   Crystal ball   You let me down again   Rollin' down a road   I've never seen   Meeting people   Seeing places I've never been   I'm rollin' on, I'm rollin' on   I'm rollin' on, I'm rollin' on      Rollin' on and on and on forever   Yes, I am   Rollin', rollin', rollin' on together   Rollin' on and on and on forever   Rollin', rollin', rollin' on together      I'm rollin' on. I'm rollin' on   I'm rollin' on, I'm rollin' on   Crystal ball   You let me down again   I'm rollin' on   Well, I'm rollin'  "
Uriah Heep,The Speed Of Sound,"I gotta stay in the race   The die has been cast   That's the way I'm going   I tried to jump the river   That flows so fast   But it just keeps flowing      It's a hell of a journey   And I just can't wait   There's no way I can hide it   But it's a killer of a storm   And it looks like rain   I guess I've got to ride it      Sometimes I can't keep my feet on the ground   I can't let go   My world is spinning just like the speed of sound   I can't let go, it's all that I know      Ain't no question if you win or lose   Whether it's cold or rainy   Gotta find my place whatever I choose   Never Say if or maybe   And there's so many turns that I can see   In a world that I'm no stranger   I'm in the race and now I can't turn back   Survive in the face of danger      Sometimes I can't keep my feet on the ground   I can't let go   My world is spinning just like the speed of sound   I can't let go, it's all that I know      Sometimes I can't keep my feet on the ground   I can't go   My world is spinning just like the speed of sound   I can't let go, it's all that I know  "
Michael W. Smith,Everybody Free,"The longing in my heart has stirred a faded memory   Of my young heart beating fast behind the willow tree   I was counting out loud, and I only peeked a time or two   And the only purpose in my life was finding you   Singing, ""Ollie, ollie, everybody free!""   Now was I chasing you or were you chasing me?      We all grow up and put away our childhood games   But deep inside I wonder if we really change   'Cause I'm still seeking, though I've learned to hide so well   And I can still remember how it felt   Singing, ""Ollie, ollie, everybody free!""   Will I ever find someone pursuing me?      And then you caught me by surprise   I found my tears are in your eyes   I hear my heart inside of you   At last I've found somebody who   Can free my soul   And love me too      I can't believe we hide so long and run so well   When all the while we're aching to be caught and held   But it's only in surrender that our freedom comes   And so I run abandoned to your waiting arms   Singing ""Ollie, ollie, everybody free!""   I belong to you and you belong to me!      Singin' ""Ollie, ollie, everybody free  "
Leo Sayer,Solo,"Used to see him hanging around everywhere   In a world of his own   See him hanging round street corners where   We would meet   He was a lonely kid   Now they tell us that he's moved on   Aint been seen for so long   Don't know here he's gone   It's been so long, but I'm on the road   And though it ain't been easy   At least I made it on my own   My tongue's been tied for far too long   And now your gonna hear me   At least I now where I belong   S.O.L.O. I'm on the road   Hello hello, I'm on my own   Ah y'see everybody's got someone   To lay their troubled lives upon   I'm really glad I've only got my own   Once upon a time, well I had lots of friends   I moved freely through their lives   But two's a couple and, well three's a crowd   I was just left out   Hanging around   I've had as much now as I can take   There ain't no need to stay   S.O.L.O. I'm on the road   Hello hello, I'm all alone   Ah yes everybody smiles at me   As I go walking by   But I'm really glad I've only got my own   S.O.L.O. I'm all alone   S.O.L.O. I'm going down the road    "
Leonard Cohen,Misty Blue (outtake From Recent Songs),"Oh but it's been such a long, long time.   Thought I'd got you off my mind.   Looks like I can't, just the thought of you   Turns my whole world a misty blue.   Just the mention of your name   Fans the flicker to a flame.   I can't forget the things we used to do.   My whole world turns misty blue.   You know I should forget you   I really should,   And heaven knows that I tried.   But when I told you,   When I said that we were through   Deep in my heart I lied   Baby, oh what a long, long time.   Thought I'd get you off my mind.   Oh but I can't, just the thought of you   Turns my world misty blue   And the very mention of your name   Fans the flicker to a flame.   I think of things we used to do,   My whole world turns misty blue.  "
David Allan Coe,Love Is Just A Porpoise (Playing In The Tropical Sun),"Everybody knows that   I've had my share of fair weather lovers   They always leave just ahead of the rain   Searching for sunshine and looking for pleasure      Two steps ahead of the last hurricane   If this is a chance then I'm gonna take it   Heaven knows I've taking chances before   It's hard to live with your eyes on the sparrow      Unless you first take your feet off the shore   There's not a cloud up in the sky   Give me one good reason why   We should set our sails for somewhere      Other that the sunny side of nowhere   Freedom's in the eagles wings, baby   Listen to those seagulls sing, maybe   Love is just a porpoise      Playing in the tropical sun   Let me tell you girl   That ocean get big when your   Halfway across it      And this ship of love's seen a lot of bad days   Sometimes it's harder to row with the current   Most of my life I've just rocked on the waves   If this is a game then I'm gonna play it      I need your love like those sails need wind   Just climb aboard, girl, and pull up the anchor   Now is the time for our love to begin   Woo, there's not a cloud up in the sky      Not a cloud up in the sky   Not a cloud up in the sky   Give me one good reason why   It's a fairy tale morning  "
Young Jeezy,Last Of A Dying Breed,"[Verse 1 - Young Jeezy]   Welcome to the life of a young thug nigga (yea)   Only hang out wit' them criminals and drug dealers (ayyy)   I'm from even where dead die (die)   But try an' do it big like the kid from Bedstuy   I see death around the corna and I ain't scared   I got a carbon 15 and I'm fully prepared (that's right)   Lord a mercy 20 rounds in a clip (yea)   Outta line get 20 rounds in ya hip (ayyy)   Shoot first and ask questions lata' (lata)   The answer is it was all about the paper (yea)   Everything the game is shit to lose   And a new forty-five that I'm dyin' to use (yeahhhh)      [Chorus - Ill Will]   If ya real like me (like me)   Throw ya hoods in the air so the whole wide world can see (ay)   Last of a dying breed, last of a dying breed, last of a dying breed   And if ya real like me (like me)   Keep that thang on ya hip that's just the way that it's gotta be   Last of a dying breed, last of a dying breed, last of a dying breed      [Verse 2 - Young Buck]   I done seen niggaz come and go   Shit the whole world done seen what I done before   We do anythang when the funds is low   I'm the reason outta towners don't come no mo'   Let me show you niggaz how to break down the whole thang   My nigga B.G. know Buck been a birdman   It's got to be in ya blood to be a thug   If I ain't makin' enough I'ma jack my plug   We was born in it   Not sworn in it   You can go against it or you can join wit' it   Made my mark so the streets gon' remember me   Now come and get it nigga Cashville Tennekee holla back      [Chorus]      [Verse 3 - Trick Daddy]   Some of the dudes we thought was real O.G.'s was O.B's   Cause they talked pleas and included G's like you and me   The first step was going to set a trap   So in a short period, they convinced the grand jury to allow a phone tap   And if they listenin'   Not once did they hear us mentioning   Murder and a cocaine distributing   Through all that was dividends comin' in   I'm strict legit, and better yet we too smart for ya bullshit   Callin all cars (callin all cars)   Hit your brother along   And tell 'em hurry up and come them niggaz got gunz   Man down, shots fired, only fuck niggaz and cops died   First stage of a riot   And them fucks couldn't sneak by   Oh you want to witness some shit   Fine bitch, be quiet   Because they only got what you tell 'em   And only witness that they had, the bitch was layin' there dead   Shot in the street all red, with two shots to his head   Cause he was workin for the feds   And the last informant, informed us   They had it out for us   For a bird that he got popped for   So ride or die for him (ride or die for him)   Better yet, you better kill 'em   Cause I think he's gonna be the bitch to tell 'em   And he probably done all ready told 'em   But then again with out a witness them bitches ain't got shit      [Chorus]  "
Hanson,I Want You To Want Me,"I want you to want me.   I need you to need me.   I'd love you to love me.   I'm beggin' you to beg me.   I want you to want me.   I need you to need me.   I'd love you to love me.   I'll shine up the old brown shoes, put on a brand-new shirt.   I'll get home early from work if you say that you love me.   Didn't I, didn't I, didn't I see you cryin'?   Oh, didn't I, didn't I, didn't I see you cryin'?   Feelin' all alone without a friend, you know you feel like dyin'.   Oh, didn't I, didn't I, didn't I see you cryin'?   I want you to want me.   I need you to need me.   I'd love you to love me.   I'm beggin' you to beg me.   I'll shine up the old brown shoes, put on a brand-new shirt.   I'll get home early from work if you say that you love me.   Didn't I, didn't I, didn't I see you cryin'?   Oh, didn't I, didn't I, didn't I see you cryin'?   Feelin' all alone without a friend, you know you feel like dyin'.   Oh, didn't I, didn't I, didn't I see you cryin'?   Feelin' all alone without a friend, you know you feel like dyin'.   Oh, didn't I, didn't I, didn't I see you cryin'?   I want you to want me.   I need you to need me.   I'd love you to love me.   I'm beggin' you to beg me.   I want you to want me.   I want you to want me.   I want you to want me.   I want you to want me  "
Ace Of Base,Everytime It Rains,I see dark clouds out my window   I know the storm is coming any minute   And the thunder just confirms my fears   And I know the tears are in it   I'll be cryin' unable to stop   Look here comes the very first drop      'Cause every time it rains   I fall to pieces   So many memories the rain releases   I feel you   I taste you   I cannot forget   Every time it rains   I get wet      Darlin' I am still in love with you   As time passes by it just intensifies   I know I'll never be with you again   I'll never find another with that kindness in his eyes   I'll be trying unable to stop   Look here comes the very first drop      'Cause every time it rains   I fall to pieces   So many memories the rain releases   I feel you   I taste you   I cannot forget   Every time it rains   I get wet      On sunny days I'm all right   I walk in the light   And I try not to think about   The love I live without      But every time it rains   I fall to pieces   So many memories the rain releases   I feel you   I taste you   I cannot forget   Every time it rains   I get wet      'Cause every time it rains (every time it rains)   I fall to pieces (every memory)   So many memories the rain releases   I feel you   I taste you   I cannot forget   Every time it rains (every time it rains)   I get wet      'Cause every time it rains (every time it rains)   I fall to pieces (every memory)   So many memories the rain releases   I feel you   I taste you   I cannot forget   Every time it rains (every time it rains)   I get wet  
Howard Jones,Back In Your Life,Soon the warm night breezes roll on in   A steamy blanket for the shore   This is streetlight time   You said you were mine   So the fool believes   What the night conceives   The light of love is in your eyes   Is in your smile again   Is in your life again   Was a time when love grew cold for you   Turned your back on memories   I was there for you   I will see you through   Darkest hours fade   The promises we made   Were not the kind to fade away   We'll face another day   We'll face another day   When that was yesterday   Will the ocean rollers bring you home   Or will they take you out to sea   This is real-time   And you are still mine   The fool that loves his dreams   Breaks the cruelest schemes   The light of love is in your eyes   Is in your smile again   Is in your life again   Back in your smile again   Back in your life again    
John McDermott,I'll Be Seeing You,"Ill be seeing you,   In all the old, familiar places,   That this heart of mine embraces,   All day through.      In that small cafe,   The park across the way,   The children's carousel,   The chestnut tree,   The wishing well.      Ill be seeing you,   In every lovely, summers day,   And everything that's bright and gay,   Ill always think of you that way,   Ill find you in the morning sun,   And when the night is new,   Ill be looking at the moon,   But I'll be seeing you.  "
Etta James,Please Send Me Someone To Love,"Heaven please send to all mankind,   Understanding and peace of mind.   But, if it's not asking too much   Please send me someone to love.      Show all the world how to get along,   Peace will enter when hate is gone.   But, if it's not asking too much,   Please send me someone to love.      I lay awake night and ponder world troubles.   My answer is always the same.   That unless men put an end to all of this,   Hate will put the world in a flame, (oh) what a shame.   Just because I'm in misery.   I'm not begging for no sympathy.   But if it's not asking too much,   Just send me someone to love.      Heaven please send to all mankind,   Understanding and peace of mind.   But if it's not asking too much,   Please send me someone to love.      Learn to love me or leave me, either one you wanna do   Learn to love me or leave me, either one you wanna do   Because strange things are happenin', babe, an' somethin' might happen to you      If you know you don't love me, why don't you let me be?   If you know you don't love me, why don't you let me be?   Because it's better to be without you, then to live on in misery      Hey!      Midnight find me cryin', daylight find me cryin', too   Midnight find me cryin', daylight find me cryin', too   You better change your ways pretty baby or somethin' might happen to you  "
Gucci Mane,24 Hours,"I'm up 24 hours, money and the power   Stuntin' on the hoes and I'm shittin' on the cowards   I'm 24 hours   I'm up 24 hours   I'm up 24 hours   No shit, shave or shower,   Until I get my money back,   I gotta get my money up,   I'm 24 hours   I'm up 24 hours      Damn, it's a good day   Damn, it's a good day   Call Drummer Boy and told let's go make a hood tape,   First thing I'mma do, pull out my seven four,   Candy coated black thang sittin' on them forty O's,   24 tower, eight bricks of powder, ten bells of dro,   What I payed for the flour,   Don't talk about my Lambo, talk about my Rarri,   Talk about my Phantom, or talk about my Harley,   BrickSquad Bikerboys Angel name Charlie,   Goons goin' physco,   White boy narley   Every 24 second passing me da marley,   Lame tryna diss don't effect me hardly      I'm up 24 hours money and the power,   Stuntin' on the hoes and I'm shittin' on the cowards,   I'm 24 hours   I'm up 24 hours   I'm up 24 hours   No shit, shave or shower,   Until I get my money back,   I gotta get my money up, I'm 24 hours   I'm up 24 hours   Its Gucci      I'm going to the bank again makin' anotha' deposit,   It's getting kinda chilly, bring my mix up out da closet,   Getting kinda warm bring my jewelry out da safe,   If it be a problem put da hater in his place!   Slicker than an oil spill, sharper than an razor,   I'm screaming anybody get it like my nigga Major!   Finna cop a condo an' fill it fulla' ammo,   BrickSquad bandana on think I'm fuckin' Rambo,   It's Gucci!      I'mma killa, so don't push me,   BrickSquad ain't no pussy niggas runnin' wit' dem wig splitters,   Niggas screaming roll one Gucci let me hold somethin'   But I can't let cha hold none I hit cha wit' da whole drum      I'm up 24 hours money and the power,   Stuntin' on the hoes and I'm shittin' on the cowards,   I'm 24 hours   I'm up 24 hours   I'm up 24 hours   No shit, shave or shower, until I get my money back,   I gotta get my money up,   I'm 24 hours   I'm up 24 hours      I'm fucking with the white girl you can call me Ice-T,   Cause I got my Crystal's on you can call 'em Spike Lee,   Robbing me unlikely last try dropped dem   Hollering tip stop dem I ain't have time to box him,   Stuntin' like an actor, running like an athlete,   Straight to the money like a sprinter at a track meet,   First sign Waka, then I sign Gucci,   Then I sign BrickSquad tell 'em comin' sue me      I'm up 24 hours money and the power,   Stuntin' on the hoes and I'm shittin' on the cowards,   I'm 24 hours   I'm up 24 hours   I'm up 24 hours   No shit, shave or shower, until I get my money back,   I gotta get my money up,   I'm 24 hours   I'm up 24 hours      I'm up 24 hours money and the power,   Stuntin' on the hoes and I'm shittin' on the cowards,   I'm 24 hours   I'm up 24 hours   I'm up 24 hours   No shit, shave or shower, until I get my money back,   I gotta get my money up, I'm 24 hours   I'm up 24 hours  "
Tom T. Hall,It Sure Can Get Cold In Des Moines,"The Iowa weather was 13 below   I had come to Des Moines for a radio show   I awoke in the evening from a traveler's sleep   With notions of something to eat      The old elevator slid down past the floors   My head and my eyes said ""You should have slept more.""   The man at the desk said the restaurant was closed   Outside it was 14 below      The lounge was still open and so I walked in   In place of my food I had two double gins   I looked 'round the room, as a tourist would do   That's when I saw the girl in the booth      She sat there and cried in the smoky half-dark   The silent type crying that tears out your heart   Her clothes were not cut in the new modern way   And her suitcase had seen better days      Nobody asked her what caused her such pain   Nobody spoke up, yet no one complained   Without even asking, I knew why she cried   Life is just like that sometimes      The man at the desk said, ""It's 15 below.""   The bellhop said ""Yeah man, that's cold...that's cold.""   I went back to my room and I wrote down this song   Oh it sure can get cold in Des Moines  "
Nicki Minaj,Moment 4 Life,"I fly with the stars in the skies,   I am no longer trying to survive,   I believe that life is a prize,   But to live doesn't mean you're alive,   Don't worry bout me and who I fire   I get what I desire it's my empire   And yes I call the shots I am the umpire   I sprinkle holy water upon the vampire   In this very moment I'm king   This very moment I slay Goliath with a sling,   This very moment I bring   Put it on everything that I will retire with the ring,   And I will retire with the crown, yes!   No I'm not lucky I'm blessed, yes!   Clap for the heavyweight champ, me!   But I couldn't do it all alone, we!   Young Money raised me, grew up out in Baisley   Southside Jamaica, Queens and it's crazy   'Cause I'm still hood, Hollywood couldn't change me   Shout out to my haters, sorry that you couldn't phase me   Ain't being cocky we just vindicated, best believe that when were done   This moment will be syndicated, I don't know, this night just remind me of   Everything that they deprived me of   Put ya drinks up,   It's a celebration every time we link up   We done did everything they can think of   Greatness is what we on the brink of      I wish that I could have this moment for life, for life, for life   'Cause in this moment I just feel so alive, alive, alive   I wish that I could have this moment for life, for life, for life   This is my moment I just feel so alive, alive, alive (yeah, yeah, yeah uh)      What I tell 'em hoes bow bow bow to me, drop down to ya knees   Young Money the Mafia that's word to Lil' Cease   I'm in The Dominican Big Papi Ortiz   Doin' target practice all these bitches just aiming to please   Shout out to the C.E.O. five hundred degrees   Shout out to the O.V.O wear rings and fatigues, ow!   Niggas wanna be friends how coincidental   This supposed to be ya'll year we ain't get the memo   A young King, pay me in gold   Forty got a bunch of weed he ain't even rolled   These niggas be droppin' songs they ain't even cold   Weezy on top and that nigga ain't even home, yet!   Yeah, be very afraid   These other rappers getting bodied and carried away   Fuck it me and Nicki Nick gettin' married today   And now you bitches that be hatin' can catch a bouquet, ooh   Yeah, you a star in my eyes, you and all them white girls party of five   Are we drinking a lil' more I can hardly decide   I can't believe we really made it I'm partly surprised, I swear   Damn, this one for the books, man!   I swear this shit is as fun as it looks, man!   I'm really tryna make it more than what it is,   'Cause everybody dies but not everybody lives, ah!      I wish that I could have this moment for life, for life, for life   'Cause in this moment I just feel so alive, alive, alive   I wish that I could have this moment for life, for life, for life   This is my moment I just feel so alive, alive, alive, for life      This is my moment, I waited all my life I can tell its time   Drifting away I'm one with the sunsets, I have become alive.      I wish that I could have this moment for life, for life, for life   'Cause in this moment I just feel so alive, alive, alive   I wish that I could have this moment for life, for life, for life   This is my moment I just feel so alive, alive, alive, for life  "
Marilyn Manson,Mister Superstar,"Hey. Mr. Superstar:   ""I'll do anything for you""   ""I'm your number one fan""   Hey mr. porno star I I I I want you   Hey mr. sickly star   I want to get sick from you   Hey mr. fallen star   Don't you know I worship you?   Hey mr. big rock star   ""I want to grow up just like you""   I know that I can turn you on   I wish I could just turn you off   I never wanted this   Hey mr. superhate   I just want to love you   Hey, hey, hey mr. superfuck,   I want to go down on you   Hey mr. supergod,   Will you answer my prayers?   Hey, hey, hey mr. superman,   I want to be your little girl      Hey mr. superstar,   I'll kill myself for you   Hey mr. superstar,   I'll kill you if I can't have you   Superstar, superfuck baby  "
Doris Day,Just Blew In From The Windy City,"I just blew in from the windy city   The windy city is mighty pretty   But they ain't got what we got, no sirree   They've got shacks up to seven storeys   Never see any Morning Glorys   But a step from our doorway   We got 'em for free      They've got those minstrel shows   Pretty ladies in the big chapeauxs   Private lawns, public parks   For the sake of civic virtue   They've got fountains there that squirt you      I just blew in from the windy city   The windy city is mighty pretty   But they ain't got what we got   I'm tellin' ya, boys   We got more life in Deadwood City   Than in all of Illinois      You should-a seen me a-windo' shoppin'   A-windo' shoppin' with eyes a-poppin'   At the sights that you see there, yes sirree   Press a bell and a moment later   Up you go in an elevator   Just as fast as a polecat a-climbin' a tree      I heard claim hundreds came   To a thing they call a baseball game   Cigar stores, revolving doors   They got new inventions coming   'Stead of outdoor, indoor plumbing      I just blew in from the windy city   The windy city is mighty pretty   But they ain't got what we got   I'm tellin' ya, boys   I ain't a-swappin' half of Deadwood   For the whole of Illinois  "
Matt Redman,Take The World But Give Me Jesus,"I've thrown it all away that I might gain a life in You   I've found all else is loss compared to the joys of knowing You   Your beauty and Your majesty are far beyond compare   You've won my heart, now this will be my prayer   [Chorus:]   Take the world, but give me Jesus   You're the treasure in this life   Take the world, but give me Jesus   Is my cry   Now I've seen You as the Savior, I will leave the rest behind   Take the world, but give me Jesus is my cry   Into the world I go that I might live this life of love   I won't be overcome, for You are in me and You are strong   For time and for eternity, I know I'm in Your care   You've won my heart, now this will be my prayer  "
Kiss,Heaven's On Fire,"I look at you and my blood boils hot, I feel my temperature rise   I want it all, give me what you got, there's hunger in your eyes   I'm getting closer, baby hear me breathe   You know the way to give me what I need   Just let me love you and you'll never leave      [Chorus:]   Feel my heat takin' you higher, burn with me, Heaven's on fire   Paint the sky with desire, angel fly, Heaven's on fire      I got a fever ragin' in my heart, you make me shiver and shake   Baby don't stop, take it to the top, eat it like a piece of cake   You're comin' closer, I can hear you breathe   You drive me crazy when you start to tease   You could bring the devil to his knees      [Chorus]      Oho Heaven's on fire, oho Heaven's on fire, oho      I'm getting closer, baby hear me breathe   You know the way to give me what I need   Just let me love you and you'll never leave      [Chorus]  "
Utopia,Man Of Action,"You got all the time in the world   You count the minutes like beads on a string   Open the floor for a little debate   While you sit and watch the rug unravelling   You got a message from the weather man   You're looking for a thumb when there's a hole to fill   Who bites the bullet?   Man of action will   Call me. have gun. will travel.   Think about it, ponder on that   If you can't make that move, man of action will   Think about it, ponder on this   With a fist or a kiss   I'll put your dreams in action   Pressure's building up and down the line   You see the difference in the smallest thing   Put a new tape in your message machine   Hit the shelters 'til you see what change will bring   Sometimes justice seems a fragile thing   You paralyze it with a lack of will   Trade in your karma   Man of action will   Call the avenging angel   Think about it, ponder on this   If you can't make that move, man of action will   Think about it, ponder on that   Time to cut through the fat   I am your first reaction   Someone's got to push it on   Someone's got to shake it on   Someone's got to take it on   Man of action will    "
Indiana Bible College,Who Is Like The Lord,"Chorus   Who is like the Lord   Nobody   Who is like the Lord   No no no no no, nobody   Who is like the Lord   Nobody   Who is like the Lord   No no no no no, nobody      If our God is for us   Who can be against us   He will keep His promise   There's nobody like Him      What can separate us   From the love of Jesus   He will keep His promise   There's nobody like Him   Nobody like Him      Verse   There is none   In Heaven or earth like You      Vamp   Lord we declare   Who can compare   Who would even dare   There is no one like You  "
Pretenders,Every Mother's Son,I was born with my hand in a fist   And my eyes shut tight   Any wonder that I cannot resist   Punchin' blindly in a fight   The first time I saw swans flyin' to the sun   I wanted to be one      Like every mother's son   When I saw my life had begun   I wanted to be someone   Like my brother and my one and only father   And like every mother's son      I was raised within a cause   With a purpose to fulfill   I was taught to defend what was mine   And instructed not to kill   My small mortal eyes can see eternity   In the clouds that dissolve and then regroup endlessly      Like every mother's son   When a man showed me how to use a gun   I wished I'd never need one   Like my brother and my one and only father   And like every mother's son      Everything in domesticity   Assumes its role better than me   I'm a displaced person whose culture let me down   I raise my own daughters in a pornographic town      Like every mother's son   I've lost some and some I've won   Now I'm waiting for a new dawn   Like my brother and my one and only father   And like every mother's son  
Radiohead,I Can't,"Please forget the words that I just blurted out   It wasn't me, it was a strange and creeping doubt   It keeps rattling my cage   There's nothing in this world will keep it down      Even though I might,   Even though I try,   I can't      So many things that keep, keep me underground   So many words that I, that I can never find      If you give up on me now,   I'll be gutted like I've never been before      Even though I might,   Even though I try,   I can't  "
Iggy Pop,Sickness,Hey little girl   You're black and blue   Hey little girl   You're six foot two   I know a man who loved too hard   He lost his mind it wasn't hard      Over this sickness   Over this sickness   Over this sickness   This sickness of love      Cute little knees that you got   Out in the dark parking lot   Cute little voice whispering   I know a man lost everything      Over this sickness   Over this sickness   Over this sickness      This sickness of love   This sickness is hauntin' me   Till I cannot see   This sickness is what I am   I greet it like a friend   Amen      Hey little girl   I'm almost trough   Hey little girl   I'm almost you   Hey little girl   The river runs   Hey little girl   The rising sun      Over this sickness   Over this sickness   Over this sickness   This sickness of love      Over this sickness   Over this sickness   Over this sickness   This sickness of love  
Chicago,Only Time Can Heal The Wounded,You hear a sound as she's leaving   You'll hear your heart pound so hard   You'll miss her warm touch and the way things once were   It's such a cold town when you miss her      It's not the same place no more   When it's hard to mend what's broken   And you still can't let her go   Beyond the storm there's an answer      Beyond the nights you spend alone   Beyond the headlights and the highways you go   You'll take a long ride without her   Until the tears dry away      In every way you try to reason   When there's no reason left to hold   Only time can heal the wounded of love   Any day now time will tell      Only love can turn it all around again   There's no heart that time can't heal   Whatever pieces you're missing   Whatever you leave behind      However you look at things they do change   It's not the same conversation   It's not the way that it was   There'll be one less tear tomorrow   There'll be one less night alone      Only time can heal the wounded of love   Any day now time will tell   Only love can turn it all around again   There's no heart that time can't heal   Only time can heal the wounded of love   There's no heart that time can't heal  
George Jones,As Long As I Live,"I'll love you dear, as long as I live.      It was easy said the night we parted   That we'd forget we'd ever met   I haven't forgotten, I wonder if you have   Or if your heart is full of regret.      As long as I live if it be one hour   Or if it be one hundred years   I'll keep remembering forever and ever   I'll love you dear, as long as I live.      Oh, I never thought that night we parted   That life alone would be oh, so bad   I know it sounds funny but I can't forget you   You're the only joy that I've ever had.      As long as I live if it be one hour   Or if it be one hundred years   I'll keep remembering forever and ever   I'll love you dear, as long as I live.      I'll love you dear, as long as I live  "
Rod Stewart,I've Been Drinking,"I'm drinkin' again   Thinkin' of when   You left me   That happened once so long ago      I've been havin' a few   And wishin' that you   Were right here by my side      Well, I'm makin' the rounds   And settin' them up   A total stranger to myself   I'm just makin' a fool of myself      I'm just hopin'   That you'll come right back once, someday   But I know, I know, I know   That there's no second time around      Now, listen   I know, I know, I know, I know      Sure I know I can borrow a smoke   Or sit here all night long and tell a joke   But after all is said and done, who's gonna laugh   Who's gonna laugh at a broken, a broken heart?      I've been drinkin' again   And thinkin' of when   Of when you left me   And that weren't so long ago      I've been havin' a few   You know that you know   And wishin' that you   Were here right by my side      Now listen one time      I've been drinkin' again   I've been drinkin' again   Sometimes I can't help myself  "
Zebra,Your Mind's Open,"You rest your mind   Flying to the home that you knew   You made you past   Trying to get home in as few but   All the time   Your mind is just aching for   All the time   You can't stop but faking it   All the time   Your mind is just breaking your heart   You rest you heart   Oh, listen to me   You can be 'bout, anywhere   You can take you mind anyplace because   Your mind's open, the rest is up to you   You can dream 'bout any dream   You can take safaris right up into the sky's open,   The rest is up to you   You can do it   You can dream it all   Sing it in your heart   Don't have to be lonely   You can do it   You can feel it all   Breakin' in your heart   Don't have to be lonely   You can do it   You can leave it all   Make another start   You can be 'bout, anywhere   You can take you mind anyplace because   Your mind's open, the rest is up to you   You can dream 'bout any dream   You can take safaris right up into the sky's open,   The rest is up to you   Might wind up just anywhere   Might wind up just anywhere   Might wind up just anywhere       "
Willie Nelson,Bridge Over Troubled Water,When you're weary and feeling small   When tears are in your eyes I will dry them all   I'm on your side when times get rough and friends just can't be found   Like a bridge over troubled water I will lay me down      When you're down and out when you're on the street   When evening falls so hard I will comfort you   I'll take your part when darkness comes and pain is all around   Like a bridge over troubled water I will lay me down   Like a bridge over troubled water I will lay me down      Sail on silver girl sail on by   Your time has come to shine all your dreams're on their way   See how they shine if you need a friend I'm sailing right behind   Like a bridge over troubled water I will ease your mind   Like a bridge over troubled water I will ease your mind   I will ease your mind  
